Asiste normalmente a clases,1
Si llega a faltar notifica con anticipación,1
Las clases comienzan y terminan a la hora estipulada,1
Atiende asuntos externos en hora-clase,1
Al inicio del curso da a conocer el programa,2
Respeta los criterios de evaluación establecidos,2
Los criterios de evaluación fueron bien explicados,2
Se abarca completamente el temario,2
Domina los todos los temas adecuadamente,3
"Sus clases están bien preparadas, organizadas y estructuradas",3
En sus clases integra los temas con otras áreas de conocimiento,3
Aclara dudas,3
Se preocupa por que las clases sean interesantes o atractivas de tal manera que despierte el interés de seguir investigando los temas abordados ,3
El método de enseñanza es correcto para el aprendizaje,3
El docente realiza actividades dentro de su clase que fomenten la participación,3
Al final de cada clase sintetiza o resalta los puntos que fueron más importantes,3
"Utiliza con frecuencia ejemplos, esquemas o gráficos, para apoyar sus explicaciones",3
El profesor (a) muestra la finalidad de los temas impartidos para la vida laboral ,3
Esta materia me ha ayudado para mi formación como profesionista,3
Los trabajos que pide tienen relación con la materia y temario,3
Desarrolla la clase en un clima de apertura y entendimiento.,4
Escucha y toma en cuenta las opiniones de los estudiantes.,4
Muestra congruencia entre lo que dice y lo que hace en clase.,4
"El docente hace uso de los acervos bibliográficos y materiales didácticos (pizarrones, cañones y computadoras) que la universidad ofrece",5
Fomenta el uso de fuentes bibliograficas ,5
"Realiza suficientes seminarios (lectura, charlas, debates) relacionados con la asignatura",5
La bibliografía y materiales didacticos me han resultado utiles para mejorar la comprensión de la asignatura,5
Creo que el material de apoyo es el adecuado para la clase,5
Fomenta el adecuado uso de los materiales didacticos,5
Emplea las tecnologías de la información y de la comunicación como un medio que facilite el aprendizaje de los estudiantes.,6
"Promueve el uso de diversas herramientas, particularmente las digitales, para gestionar (recabar, procesar, evaluar y utilzar) información.",6
"Promueve el uso seguro, legal y ético de la información digital.",6
El docente es respetuoso(a) con los estudiantes,7
La clase se desarrolla en un ambiente de respeto,7
Toma en cuenta las opiniones de los alumnos,7
El profesor es receptivo a escuchar opiniones contrarias,7
El profesor mantiene un punto imparcial dentro de temas que causen conflicto,7
Fomenta el respeto entre compañeros ,7
Fomenta el respeto en general no solo en clase sino fuera de ella,7
Toma represalias,7
"Acepta todo tipo de comentarios sin llevar a cabo actitudes discriminatorias (ya sea por edad, raza, religión, sexo, ideología de genero, etc.) ",7
Los examenes que realiza el profesor son claros,8
Los examenes evalúan fundamentalmente el grado de comprensión de los temas,8
Los criterios y procedimientos de evaluación me parecen adecuados y justos,8
Si existen dudas sobre la calificación el docente es capaz de aclararla,8
El nivel exigido en la evaluación corresponde con el que se imparte en clase,8
Da a conocer las calificaciones en el plazo establecido,8
Estoy satisfecho (a) con la labor del docente,9
"En general, pienso que es un buen docente",9
Estoy satisfecha (o) por mi nivel de desempeño y aprendizaje logrado gracias a la labor del docente,9
